ATIVACAO,LINHA_VIVA,TIPOESTR,CODLISTA,RESUMO,PRIORIDADE
LIGAÇÃO CLIENTE GAMBIARRA INSTALAÇÃO COMPLETA,POSTES NOVOS COM LINHA VIVA 10 A 12,C11/400,CC11400,POSTE,1
INST. POSTE METÁLICO CLIENTE REG,POSTES NOVOS COM LINHA VIVA 13 A 15,C11/600,IPOS.044,POSTE,1
INST. MEDIDOR E RAMAL CLIENTE REG,POSTES RETIRADOS COM LINHA VIVA 10 A 12,C12/400,IPOS.298,POSTE,1
,POSTES RETIRADOS COM LINHA VIVA 13 A 15,C12/600,IPOS.299,POSTE,1
,"N1, M1, B1, T1, E1 ENERGIZADA PRIMÁRIA",C9/300,IPOS.296,POSTE,1
,,2CUF3,IEMT170,PRIMÁRIA,2
,,B1,IEMT100,PRIMÁRIA,2
,,D10 - 200MM - S3I,D10200S3I,SECUNDÁRIA,3
,,S1,SECS1IMF,SECUNDÁRIA,3
,,1/0 AWG (Poppy),ICA1002,CABO,6
,,TRAFO 75 KVA,TRIMF75,TRAFO,7
,,MEDIDOR/MONO/UC,KITMONOREG,CLIENTE,8
